SampleID	location	project	site	plot	rep	deep	depth	group	SoilBD	fineroots	coarseroots	roots	soilg	stonesg	nodules	amountnodules	ecto	protium	Sand	Clay	Silt	BrayP	OlsenP	pH	SoilMoisturePerc	NH4ppm	NO3ppm	Nperc	Cperc	NMDS1A	NMDS2A	NMDS1B	NMDS2B	NMDS1	NMDS2	lat	lon	Growth_rate	Mortality_rate	Quadratic_diameter	Aboveground_biomass	Aboveground_Cstock	Forest_density	Aboveground_productivity	tmean	precip	plowestq	elevation	rich	invSimp	shannon	ectoareayes	totalarea	percecto	fabareayes	fabperc	treatment	FUNrich	arbreads	AMrich	ecmreads	ECMrich	arbrel	ecmrel	funrel	Cperct	Nperct	Pperct	myc	PP	PPrich	ST	STrich	Cstock	Nstock	Litter_Nperct	Litter_Cperct	Litter_CtoN	Litter_Ptot	litterleaf_mass	SOMmass%LF	SOMmass%Sand	SOMmass%S+C	SOMrel_NinLF	SOMrel_CinLF	SOMrel_NinSand	SOMrel_CinSand	SOMrel_NinSC	SOMrel_CinSC	Weathering	GibtoKaol	Ptot	BrayP/Ptot	Pstock	CN	totPinSC	CP
BAB1A	BAB	guyafor	1	1	1	0-15	A	lowN	1.231687898	2.4941	0.7733	3.2674	928.2	0	0	o	m	0	82.75427996	11.32930514	5.916414904	1.179718876	1.37254902	3.79	NA	NA	NA	0.109	1.407	0.017519627	-0.088990608	NA	NA	-0.065208425	-0.09634465	5.486183333	-53.99586667	1.741	0.011837667	304.97825	492.68225	231.5606575	598.64375	5.4165	263	2480	330	47	100	41.84720433	4.13033505	72893.528	340346.8939	21.41742126	97727.25835	28.71401505	A.lowN	189	56	4	42	4	0.021646695	0.016323358	0.962723469	1.406633735	0.109491069	NA	0.037276531	80	9	1604	71	25.98800622	2.022882367	1.766629875	42.50377846	24.05924357	325.562701	78.76	1.048951049	81.02897103	15.85414585	0.018211625	0.373662502	0	0.144960971	0.101178605	0.964986654	1	0	106	0.011129423	0.195838376	12.90825688	0.058582079	132.7012957
BAB1B	BAB	guyafor	1	1	1	15-30	B	lowN	1.449575372	0.9399	0.1966	1.1365	1092.4	0.4	0	o	m	0	76.16541353	11.27819549	12.55639098	0.423306773	0.38647343	4.14	NA	NA	NA	0.0555	0.71	NA	NA	0.00460374	-0.01083746	0.064186341	0.056279237	5.486183333	-53.99586667	1.741	0.011837667	304.97825	492.68225	231.5606575	598.64375	5.4165	263	2480	330	47	100	41.84720433	4.13033505	72893.528	340346.8939	21.41742126	97727.25835	28.71401505	B.lowN	126	89	7	287	8	0.038001708	0.112992126	0.85697984	0.709616045	0.055485702	NA	0.14302016	51	7	935	40	15.42962913	1.206460602	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	83	0.005079681	0.181196921	12.79279279	NA	85.15392542
BAB2A	BAB	guyafor	1	1	2	0-15	A	lowN	1.318073248	2.4924	0.765	3.2574	993.3	0.6	1	s	s	1	82.75427996	11.32930514	5.916414904	0.821713147	0.7960199	4.02	NA	NA	NA	0.00888	1.167	-0.019936579	-0.404347893	NA	NA	-0.084887346	0.31869372	5.486183333	-53.99586667	1.741	0.011837667	304.97825	492.68225	231.5606575	598.64375	5.4165	263	2480	330	47	100	41.84720433	4.13033505	72893.528	340346.8939	21.41742126	97727.25835	28.71401505	A.lowN	75	6	2	1439	6	0.005042017	0.548608464	0.450361354	1.166880488	0.088796293	NA	0.549638646	6	3	187	14	23.07050934	1.75560027	1.558765173	44.05212975	28.2609148	253.8819876	94.96	0.55721393	79.87064677	18.29850746	0.009046607	0.205068092	0	0.133095463	0.062486245	0.764305586	1	0	106	0.007766145	0.209192236	NA	0.050167048	110.2837745
BAB2B	BAB	guyafor	1	1	2	15-30	B	lowN	1.606687898	0.8533	1.1275	1.9808	1210.8	0.4	0	o	NA	0	76.16541353	11.27819549	12.55639098	0.422465209	1.12244898	4.03	NA	NA	NA	0.0629	0.826	NA	NA	-0.256694615	-0.281495786	-0.003984794	0.38365329	5.486183333	-53.99586667	1.741	0.011837667	304.97825	492.68225	231.5606575	598.64375	5.4165	263	2480	330	47	100	41.84720433	4.13033505	72893.528	340346.8939	21.41742126	97727.25835	28.71401505	B.lowN	57	9	1	96	4	0.003553099	0.036641221	0.96006086	0.825711449	0.062882468	NA	0.03993914	360	2	766	11	19.89990889	1.515487508	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	89	0.004753516	0.214189795	13.13195548	NA	92.90782896
BAB3A	BAB	guyafor	1	1	3	0-15	A	lowN	1.332935244	NA	NA	4.828	1004.5	1.1	0	o	NA	0	82.75427996	11.32930514	5.916414904	0.919483101	1.105527638	3.76	NA	NA	NA	0.102	1.411	0.000689578	-0.068551212	NA	NA	-0.00892803	-0.020605249	5.486183333	-53.99586667	1.741	0.011837667	304.97825	492.68225	231.5606575	598.64375	5.4165	263	2480	330	47	100	41.84720433	4.13033505	72893.528	340346.8939	21.41742126	97727.25835	28.71401505	A.lowN	214	26	4	21	8	0.009969325	0.008067614	0.98212248	1.411209663	0.101949692	NA	0.01787752	91	13	1330	82	28.21576645	2.038385059	1.507979572	42.03164864	27.87282363	205.6074766	105.36	0.574541852	81.62456662	16.41406637	0.010808262	0.209002607	0	0.135873373	0.081138642	0.752458781	1	0	82	0.011163607	0.1646795	13.83333333	0.052728119	171.3374555
BAB3B	BAB	guyafor	1	1	3	15-30	B	lowN	1.580546709	NA	NA	2.1	1191.1	0.8	0	o	NA	0	76.16541353	11.27819549	12.55639098	0.424151697	0.390243902	4.13	NA	NA	NA	0.0669	0.922	NA	NA	-0.080273787	-0.051491762	0.028528665	0.099989378	5.486183333	-53.99586667	1.741	0.011837667	304.97825	492.68225	231.5606575	598.64375	5.4165	263	2480	330	47	100	41.84720433	4.13033505	72893.528	340346.8939	21.41742126	97727.25835	28.71401505	B.lowN	131	86	5	182	3	0.035145076	0.071569013	0.898060099	0.922383746	0.066927453	NA	0.101939901	685	9	654	34	21.8680589	1.586729481	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	90	0.00473479	0.212382687	13.78176383	NA	102.9653559
BAB4A	BAB	guyafor	1	1	4	0-15	A	lowN	1.263269639	2.5916	3.8957	6.4873	952	0.4	0	o	s	1	82.75427996	11.32930514	5.916414904	1.022954092	0.804020101	3.78	NA	NA	NA	0.0559	0.814	-0.007818558	-0.133476063	NA	NA	0.031517806	0.009536177	5.486183333	-53.99586667	1.741	0.011837667	304.97825	492.68225	231.5606575	598.64375	5.4165	263	2480	330	47	100	41.84720433	4.13033505	72893.528	340346.8939	21.41742126	97727.25835	28.71401505	A.lowN	136	23	1	15	5	0.008798776	0.005755948	0.985545835	0.814140598	0.055855734	NA	0.014454165	136	9	371	45	15.42718649	1.058412787	1.73677963	46.4930954	26.76971482	268.1962025	119.04	0.947820014	77.42192956	21.41075526	0.015556686	0.324808089	0	0.146694757	0.084408771	0.955269928	1	0	71	0.014382499	0.134774925	14.56171735	0.062479857	114.4662965
BAB4B	BAB	guyafor	1	1	4	15-30	B	lowN	1.459527601	0.7323	0.9766	1.7089	1099.9	45	0	o	s	0	76.16541353	11.27819549	12.55639098	0.372763419	0.39800995	4.21	NA	NA	NA	NA	NA	NA	NA	-0.058348086	-0.203000362	0.108388713	0.172935974	5.486183333	-53.99586667	1.741	0.011837667	304.97825	492.68225	231.5606575	598.64375	5.4165	263	2480	330	47	100	41.84720433	4.13033505	72893.528	340346.8939	21.41742126	97727.25835	28.71401505	B.lowN	79	77	2	544	5	0.036930456	0.213166144	0.763788513	0.874047597	0.06490496	NA	0.236211487	6	4	160	18	19.13544889	1.420958719	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	NA	NA	0.209684586	NA	NA	91.25825241
BAB5A	BAB	guyafor	1	1	5	0-15	A	lowN	1.271894904	2.6932	1.3805	4.0737	958.5	0.5	0	o	m	0	82.75427996	11.32930514	5.916414904	1.217693837	2.475247525	3.68	NA	NA	NA	NA	NA	-0.01999898	-0.049707069	NA	NA	-0.046170456	-0.032069024	5.486183333	-53.99586667	1.741	0.011837667	304.97825	492.68225	231.5606575	598.64375	5.4165	263	2480	330	47	100	41.84720433	4.13033505	72893.528	340346.8939	21.41742126	97727.25835	28.71401505	A.lowN	251	162	10	22	10	0.062140391	0.008917714	0.930011411	1.286757112	0.095372992	NA	0.069988589	130	14	1300	82	24.5492972	1.819566343	1.77388835	44.9566803	25.34357944	329.9050633	56.44	0.893211592	76.54823343	23.13418023	0.016143614	0.349923062	0	0.148963074	0.093245117	1.023695793	1	0	NA	NA	0.17423196	NA	0.0741491	140.9000803
BAB5B	BAB	guyafor	1	1	5	15-30	B	lowN	1.41985138	1.7338	0.2446	1.9784	1070	2.5	0	o	o	0	76.16541353	11.27819549	12.55639098	0.425	0.4	3.97	NA	NA	NA	0.0753	1.065	NA	NA	-0.065956445	-0.083274098	0.057918746	0.099394844	5.486183333	-53.99586667	1.741	0.011837667	304.97825	492.68225	231.5606575	598.64375	5.4165	263	2480	330	47	100	41.84720433	4.13033505	72893.528	340346.8939	21.41742126	97727.25835	28.71401505	B.lowN	115	77	4	2	2	0.029311001	0.000783699	0.969950552	1.064719597	0.075339399	NA	0.030049448	19	5	551	35	22.67615385	1.604561251	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	121	0.003503133	0.258384471	14.14342629	NA	87.76128736
JAH1A	JAH	guyafor	1	1	1	0-15	A	lowN	1.072186837	1.2849	0.9612	2.2461	808	2.5	0	o	s	0	67.18044114	15.94472495	16.87483391	0.423306773	0.390243902	4.14	NA	NA	NA	0.107	1.573	-0.214140619	-0.212458789	NA	NA	0.016495935	0.178724822	5.543146	-53.812982	1.596833333	0.012333333	282.6316667	358.3516667	168.4252833	459.94	5.245	265	2237	236	21	133	41.16831432	4.300891429	48318.70463	275732.3181	17.52377268	74595.86214	27.05372466	A.lowN	108	1	1	21	5	0.000383436	0.007990868	0.991631799	1.572649797	0.107320845	NA	0.008368201	116	11	167	29	25.29261616	1.726019961	1.916206181	49.54181862	25.8541169	284.7457627	78.76	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0.043	212	0.00199668	0.340963972	14.70093458	0	74.17973238
JAH1B	JAH	guyafor	1	1	1	15-30	B	lowN	1.316082803	0.3955	0.0279	0.4234	991.8	2.7	0	o	o	0	59.7901203	19.19631431	21.0135654	1.618525896	1.188118812	3.76	NA	NA	NA	0.16	1.985	NA	NA	-0.372243443	-0.166570465	-0.214262811	-0.1682735	5.543146	-53.812982	1.596833333	0.012333333	282.6316667	358.3516667	168.4252833	459.94	5.245	265	2237	236	21	133	41.16831432	4.300891429	48318.70463	275732.3181	17.52377268	74595.86214	27.05372466	B.lowN	149	6	1	77	5	0.002351097	0.0293557	0.96842906	1.323628942	0.106995339	NA	0.03157094	24	9	2174	47	26.13007932	2.112220888	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	192	0.008416335	0.37963927	12.40625	NA	68.82870499
JAH2A	JAH	guyafor	1	1	2	0-15	A	lowN	1.302813163	1.4719	1.8766	3.3485	981.8	3.7	0	o	o	0	67.18044114	15.94472495	16.87483391	1.064356436	0.7960199	3.75	NA	NA	NA	0.15	2.043	-0.109638207	-0.055812386	NA	NA	-0.155086482	-0.106870338	5.543146	-53.812982	1.596833333	0.012333333	282.6316667	358.3516667	168.4252833	459.94	5.245	265	2237	236	21	133	41.16831432	4.300891429	48318.70463	275732.3181	17.52377268	74595.86214	27.05372466	A.lowN	349	6	5	14	10	0.002294455	0.0053374	0.992392545	2.043071826	0.15037171	NA	0.007607455	166	25	733	117	39.92611304	2.938593657	1.40191412	41.01689529	29.25778029	310.5828221	73.84	0.587883619	69.74890395	28.13870068	0.010613214	0.229475425	0	0.107984543	0.107635036	0.917371754	2	0.043	189	0.005632335	0.369293816	13.62	0.125375386	108.1147619
JAH2B	JAH	guyafor	1	1	2	15-30	B	lowN	1.394240977	NA	NA	NA	NA	NA	NA	NA	NA	NA	59.7901203	19.19631431	21.0135654	0.324351297	0.3	3.97	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.543146	-53.812982	1.596833333	0.012333333	282.6316667	358.3516667	168.4252833	459.94	5.245	265	2237	236	21	133	41.16831432	4.300891429	48318.70463	275732.3181	17.52377268	74595.86214	27.05372466	A.lowN	NA	NA	NA	NA	NA	NA	NA	NA	1.180716395	0.077445512	NA	NA	NA	NA	NA	NA	24.6930477	1.619665595	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	197	0.00164557	0.41221945	NA	NA	59.90267484
JAH3A	JAH	guyafor	1	1	3	0-15	A	lowN	1.130175159	2.1479	2.2911	4.439	851.7	2.2	0	o	m	0	67.18044114	15.94472495	16.87483391	1.232394366	1	3.65	NA	NA	NA	0.155	2.432	-0.120019833	-0.08248106	NA	NA	-0.075177729	-0.012000288	5.543146	-53.812982	1.596833333	0.012333333	282.6316667	358.3516667	168.4252833	459.94	5.245	265	2237	236	21	133	41.16831432	4.300891429	48318.70463	275732.3181	17.52377268	74595.86214	27.05372466	A.lowN	201	35	3	128	7	0.013994402	0.049344641	0.937999239	2.432031631	0.155242607	NA	0.062000761	210	13	345	81	41.22932605	2.631770071	1.62729162	40.47677612	24.87370772	267.5159236	42.6	0.928051093	25.49645744	73.2661411	0.012439624	0.345225844	0.006619695	0.127642499	0.222969607	2.624314843	2	0.043	187	0.006607363	0.316197566	15.69032258	0.072867144	130.3910292
JAH3B	JAH	guyafor	1	1	3	15-30	B	lowN	1.229166667	0.5681	3.0682	3.6363	926.3	6.1	0	o	m	0	59.7901203	19.19631431	21.0135654	0.424151697	0.502512563	3.91	NA	NA	NA	0.13	2.246	NA	NA	-0.164031449	-0.138754996	-0.000957107	0.166025867	5.543146	-53.812982	1.596833333	0.012333333	282.6316667	358.3516667	168.4252833	459.94	5.245	265	2237	236	21	133	41.16831432	4.300891429	48318.70463	275732.3181	17.52377268	74595.86214	27.05372466	B.lowN	111	0	0	9	4	0	0.003423355	0.996576645	2.246247609	0.129564295	NA	0.003423355	67	11	828	32	41.4151903	2.388841693	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	207	0.002051231	0.381248986	17.27692308	NA	108.6302962
JAH4A	JAH	guyafor	1	1	4	0-15	A	lowN	1.026008493	NA	NA	7.178	773.2	1.6	0	o	NA	0	67.18044114	15.94472495	16.87483391	2.379759519	1.782178218	3.47	NA	NA	NA	0.217	3.49	-0.068165362	-0.131556335	NA	NA	-0.070339409	-0.12204946	5.543146	-53.812982	1.596833333	0.012333333	282.6316667	358.3516667	168.4252833	459.94	5.245	265	2237	236	21	133	41.16831432	4.300891429	48318.70463	275732.3181	17.52377268	74595.86214	27.05372466	A.lowN	170	26	7	70	5	0.010160219	0.026892048	0.963484215	3.489841143	0.217418949	NA	0.036515785	77	11	1330	62	53.70909976	3.346105319	1.619335175	47.42510605	29.28677571	446.7084639	97.12	1.789284286	66.82327069	28.85845662	0.030264486	0.662019453	0	0.206310179	0.124602897	1.590523482	2	0.043	226	0.010542591	0.347398507	16.08294931	0.122581349	154.6037152
JAH4B	JAH	guyafor	1	1	4	15-30	B	lowN	1.290870488	NA	NA	NA	NA	NA	NA	NA	NA	NA	59.7901203	19.19631431	21.0135654	0.873253493	0.693069307	3.87	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.543146	-53.812982	1.596833333	0.012333333	282.6316667	358.3516667	168.4252833	459.94	5.245	265	2237	236	21	133	41.16831432	4.300891429	48318.70463	275732.3181	17.52377268	74595.86214	27.05372466	A.lowN	NA	NA	NA	NA	NA	NA	NA	NA	1.83393391	0.115063826	NA	NA	NA	NA	NA	NA	35.51056742	2.227987464	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	197	0.004424484	0.382165605	NA	NA	92.91931809
JAH5A	JAH	guyafor	1	1	5	0-15	A	lowN	1.281714437	NA	NA	3.262	965.9	3.3	0	o	NA	0	67.18044114	15.94472495	16.87483391	1.86752988	1.407035176	3.72	NA	NA	NA	0.155	2.25	-0.13524205	-0.023054706	NA	NA	-0.176990531	-0.066156276	5.543146	-53.812982	1.596833333	0.012333333	282.6316667	358.3516667	168.4252833	459.94	5.245	265	2237	236	21	133	41.16831432	4.300891429	48318.70463	275732.3181	17.52377268	74595.86214	27.05372466	A.lowN	357	13	3	11	6	0.004965623	0.004204893	0.990871054	2.250047684	0.155473699	NA	0.009128946	165	33	926	105	43.25877901	2.989093273	1.848514855	42.49871635	22.99073564	378.5942492	59.08	4.327403558	64.41135319	36.71796922	0.096924823	1.583027938	0	0.112886344	0.168141573	1.337013019	2	0.043	221	0.008440955	0.42536181	14.51612903	0.115301781	101.6987844
JAH5B	JAH	guyafor	1	1	5	15-30	B	lowN	1.304670913	NA	NA	0.173	983.2	5.2	0	o	NA	0	59.7901203	19.19631431	21.0135654	0.571570577	0.502512563	4	NA	NA	NA	0.118	1.822	NA	NA	-0.152136673	-0.074003993	-0.037962784	0.021589544	5.543146	-53.812982	1.596833333	0.012333333	282.6316667	358.3516667	168.4252833	459.94	5.245	265	2237	236	21	133	41.16831432	4.300891429	48318.70463	275732.3181	17.52377268	74595.86214	27.05372466	B.lowN	262	29	6	39	7	0.011196911	0.015	0.974134652	1.82228597	0.117964981	NA	0.025865348	90	19	1444	87	35.6622525	2.308582182	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	208	0.002746261	0.407305587	15.44067797	NA	87.55650208
